order_id,order_date,ship_date,customer_id,region,state,category,sub_category,product_id,sales,quantity,discount,profit
CA-2021-100001,2022-10-17,2022-10-18,CG-1189,East,Washington,Furniture,Furnishings,FUR-65302,738.45,3,0.3,-102.28
CA-2021-100002,2021-02-02,2021-02-03,CG-1183,South,Florida,Furniture,Chairs,CHA-68878,701.82,10,0,95.97
CA-2021-100003,2022-08-27,2022-08-30,CG-1195,Central,California,Furniture,Chairs,CHA-22156,2095.93,6,0,-223.66
CA-2021-100004,2022-01-25,2022-01-26,CG-1031,South,California,Office Supplies,Labels,LAB-82357,1813.16,1,0.3,137.17
CA-2021-100005,2021-10-28,2021-11-04,CG-1197,Central,California,Technology,Machines,MAC-40512,1734.17,2,0,341.21
CA-2021-100006,2021-04-14,2021-04-18,CG-1053,Central,California,Office Supplies,Storage,STO-89840,1908.87,6,0,42.2
CA-2021-100007,2022-10-13,2022-10-15,CG-1163,West,Pennsylvania,Technology,Copiers,COP-17331,494.39,7,0,194.65
CA-2021-100008,2021-08-23,2021-08-30,CG-1145,Central,Florida,Furniture,Furnishings,FUR-95909,1206.49,2,0,419.72
CA-2021-100009,2022-05-27,2022-05-31,CG-1137,Central,Washington,Technology,Phones,PHO-66155,432.9,3,0,106.92
CA-2021-100010,2022-08-21,2022-08-25,CG-1193,East,California,Office Supplies,Envelopes,ENV-30033,2991.99,3,0.2,287.56
CA-2021-100011,2022-10-05,2022-10-07,CG-1119,Central,Michigan,Technology,Phones,PHO-11504,1791.25,7,0.1,282.18
CA-2021-100012,2022-11-28,2022-12-04,CG-1040,South,New York,Furniture,Furnishings,FUR-44522,2306.95,6,0,-55.14
CA-2021-100013,2022-05-28,2022-06-04,CG-1155,West,Texas,Furniture,Bookcases,BOO-59009,2612.2,5,0.5,479.0
CA-2021-100014,2021-06-15,2021-06-20,CG-1092,Central,Florida,Technology,Accessories,ACC-17592,1798.84,8,0,-239.03
CA-2021-100015,2021-09-04,2021-09-09,CG-1032,West,Georgia,Furniture,Bookcases,BOO-82063,2197.06,2,0.5,262.82
CA-2021-100016,2021-06-19,2021-06-22,CG-1051,Central,Ohio,Technology,Phones,PHO-98039,2893.27,9,0.5,688.48
CA-2021-100017,2022-10-28,2022-10-31,CG-1005,West,Washington,Office Supplies,Supplies,SUP-38864,1357.2,4,0,-219.3
CA-2021-100018,2021-01-08,2021-01-09,CG-1131,West,Illinois,Technology,Accessories,ACC-97684,690.68,1,0.5,-1.2
CA-2021-100019,2022-05-13,2022-05-15,CG-1121,South,Florida,Technology,Copiers,COP-22363,2171.44,10,0.2,181.54
CA-2021-100020,2021-04-10,2021-04-16,CG-1172,East,New York,Office Supplies,Labels,LAB-62772,1273.62,8,0.5,302.42
CA-2021-100021,2021-12-14,2021-12-21,CG-1046,Central,Georgia,Furniture,Chairs,CHA-42742,578.81,9,0.1,-67.08
CA-2021-100022,2021-03-19,2021-03-23,CG-1023,West,Texas,Technology,Accessories,ACC-63269,156.51,9,0.5,-29.92
CA-2021-100023,2022-05-13,2022-05-17,CG-1099,Central,Georgia,Furniture,Tables,TAB-47388,2707.82,3,0.1,-538.06
CA-2021-100024,2022-03-10,2022-03-16,CG-1148,East,Pennsylvania,Technology,Phones,PHO-17492,468.62,5,0,178.65
CA-2021-100025,2021-02-21,2021-02-26,CG-1130,East,Texas,Office Supplies,Supplies,SUP-18981,2758.56,9,0,-457.57
CA-2021-100026,2022-09-02,2022-09-03,CG-1010,East,Ohio,Technology,Copiers,COP-96163,1214.31,10,0,178.93
